rank	action_id	source	family	relation	priority	trigger	history
252	community/ModelTC/LightLLM/Junyi Chen::project_contribution	Junyi Chen	person	project_contribution	6.171	bridge	new
253	community/kvcache-ai/Mooncake/Xuchun Shang::affiliation	Xuchun Shang	person	affiliation	6.159	bridge	new
254	company/字节跳动/郑立言 Liyan Zheng::project_contribution	郑立言	person	project_contribution	6.157	bridge	new
255	company/硅基流动/袁进辉 Jinhui Yuan::project_contribution	袁进辉	person	project_contribution	6.146	bridge	new
256	company/清程极智/师天麾 Tianhui Shi::project_contribution	师天麾	person	project_contribution	6.144	bridge	new
257	company/潞晨科技/尤洋 Yang You::project_contribution	尤洋	person	project_contribution	6.141	bridge	new
258	community/vllm-project/vLLM/Robert Shaw::project_contribution	Robert Shaw	person	project_contribution	6.14	bridge	new
259	community/vllm-project/vLLM-Omni/Gao Han::project_contribution	Gao Han	person	project_contribution	6.139	bridge	new
260	company/智谱/张鹏 Zhang Peng::project_contribution	张鹏	person	project_contribution	6.139	coverage_gap	new
261	university/上海交通大学/IPADS::projects	IPADS	research	projects	6.132	coverage_gap	new
262	company/IBM/IBM::projects	IBM	company	projects	6.12	bridge	new
263	community/ai-dynamo/Dynamo/Ishan Dhanani::affiliation	Ishan Dhanani	person	affiliation	6.118	coverage_gap	new
264	community/ModelTC/LightLLM/Niu Shengxiao::affiliation	Niu Shengxiao	person	affiliation	6.118	coverage_gap	new
265	community/ModelTC/LightLLM/Zaijun Wang::affiliation	Zaijun Wang	person	affiliation	6.118	coverage_gap	new
266	university/香港中文大学/James Cheng::affiliation	James Cheng	person	affiliation	6.113	coverage_gap	new
267	community/vllm-project/vLLM/Matthew Bonanni::project_contribution	Matthew Bonanni	person	project_contribution	6.112	bridge	new
268	community/deepseek-ai/DeepSeek-Infra/赵成钢 Chenggang Zhao::affiliation	赵成钢	person	affiliation	6.104	bridge	new
269	university/Stony Brook University/AI Innovation Institute::projects	AI Innovation Institute	research	projects	6.103	coverage_gap	new
270	company/硅基流动/曾华::project_contribution	曾华	person	project_contribution	6.098	coverage_gap	new
271	university/香港中文大学/LiveServe::maintainers	LiveServe	project	maintainers	6.092	coverage_gap	new
272	community/LMCache/LMCache/Andy Luo::project_contribution	Andy Luo	person	project_contribution	6.089	coverage_gap	new
273	community/LMCache/LMCache/Shaoting Feng::project_contribution	Shaoting Feng	person	project_contribution	6.089	coverage_gap	new
274	company/RadixArk/王书文 Shuwen Wang::project_contribution	王书文	person	project_contribution	6.089	coverage_gap	new
275	community/kvcache-ai/Mooncake/任峰 Feng Ren::project_contribution	任峰	person	project_contribution	6.082	bridge	new
276	community/vllm-project/vLLM/乔一凡 Yifan Qiao::project_contribution	乔一凡	person	project_contribution	6.075	bridge	new
277	company/月之暗面/周昕宇 Xinyu Zhou::project_contribution	周昕宇	person	project_contribution	6.073	coverage_gap	new
278	company/面壁智能/面壁智能::projects	面壁智能	company	projects	6.067	coverage_gap	success
279	company/腾讯/腾讯::projects	腾讯	company	projects	6.066	bridge	success
280	community/llm-d/llm-d/Clayton Coleman::project_contribution	Clayton Coleman	person	project_contribution	6.062	bridge	new
281	university/北京智源人工智能研究院/北京智源人工智能研究院::key_people	北京智源人工智能研究院	research	key_people	6.062	coverage_gap	new
282	university/上海人工智能实验室/Han Lv::project_contribution	Han Lv	person	project_contribution	6.055	coverage_gap	new
283	community/NVIDIA/TensorRT-LLM/Xin He::affiliation	Xin He	person	affiliation	6.051	coverage_gap	new
284	community/MooreThreads/MUSA/MUSA::core_people	MUSA	community	core_people	6.043	coverage_gap	new
285	company/基流科技/胡效赫 Xiaohe Hu::project_contribution	胡效赫	person	project_contribution	6.043	bridge	new
286	university/西北工业大学/边云智能创新实验室::projects	边云智能创新实验室	research	projects	6.04	coverage_gap	new
287	community/Ascend/MemCache/gcw_qYJeyWK4::project_contribution	gcw_qYJeyWK4	person	project_contribution	6.028	coverage_gap	new
288	community/hpcaitech/Colossal-AI/Hongxin Liu::project_contribution	Hongxin Liu	person	project_contribution	6.027	bridge	new
289	community/LMCache/LMCache/Hunter Zhang::project_contribution	Hunter Zhang	person	project_contribution	6.026	coverage_gap	new
290	community/kvcache-ai/KTransformers/Xingxing Hao::project_contribution	Xingxing Hao	person	project_contribution	6.026	coverage_gap	new
291	community/openEuler/openYuanRong/梁义 Yi Liang::project_contribution	梁义	person	project_contribution	6.025	bridge	new
292	company/Google/Google::projects	Google	company	projects	6.022	bridge	new
293	company/GPUStack/秦小康::project_contribution	秦小康	person	project_contribution	6.021	coverage_gap	new
294	company/第四范式/第四范式::key_people	第四范式	company	key_people	6.017	coverage_gap	new
295	company/潞晨科技/Haichen Huang::project_contribution	Haichen Huang	person	project_contribution	6.016	bridge	new
296	university/清华大学/Mingshu Zhai::project_contribution	Mingshu Zhai	person	project_contribution	6.003	bridge	new
297	university/电子科技大学/Intelligent Computing Systems Laboratory::projects	Intelligent Computing Systems Laboratory	research	projects	5.996	coverage_gap	new
298	community/triton-inference-server/Triton-Inference-Server/Akhil Saraswathi::project_contribution	Akhil Saraswathi	person	project_contribution	5.993	coverage_gap	new
299	community/NVIDIA/TensorRT-LLM/Faraz Khoubsirat::project_contribution	Faraz Khoubsirat	person	project_contribution	5.993	coverage_gap	new
300	university/Cornell University/Cornell University::key_people	Cornell University	school	key_people	5.991	coverage_gap	new
301	university/武汉大学/武汉大学::key_people	武汉大学	school	key_people	5.991	coverage_gap	new
302	community/lightseekorg/LightSeek-Foundation/LightSeek-Foundation::core_people	LightSeek Foundation	community	core_people	5.989	coverage_gap	new
303	community/flashinfer-ai/FlashInfer/赖睿航 Ruihang Lai::project_contribution	赖睿航	person	project_contribution	5.982	bridge	new
304	community/kvcache-ai/Mooncake/Ke Yang::project_contribution	Ke Yang	person	project_contribution	5.976	bridge	new
305	community/vllm-project/vLLM/Tyler Michael Smith::project_contribution	Tyler Michael Smith	person	project_contribution	5.975	bridge	new
306	community/vllm-project/vLLM-Omni/Hongsheng Liu::project_contribution	Hongsheng Liu	person	project_contribution	5.954	coverage_gap	new
307	community/vllm-project/vLLM/Simon Mo::project_contribution	Simon Mo	person	project_contribution	5.947	bridge	new
308	university/上海交通大学/Fan Wu::project_contribution	Fan Wu	person	project_contribution	5.932	bridge	new
309	community/ai-dynamo/Dynamo/Sungsoo Ha::technical_collaborator	Sungsoo Ha	person	technical_collaborator	5.932	bridge	new
310	company/一流科技/一流科技::key_people	一流科技	company	key_people	5.932	bridge	new
311	community/sgl-project/SpecForge/SpecForge::maintainers	SpecForge	project	maintainers	5.924	coverage_gap	new
312	community/vllm-project/AIBrix/Guangjian::affiliation	Guangjian	person	affiliation	5.923	coverage_gap	new
313	community/vllm-project/AIBrix/Jiang Xiaobin::affiliation	Jiang Xiaobin	person	affiliation	5.923	coverage_gap	new
314	community/llm-d/llm-d/JJ Asghar::project_contribution	JJ Asghar	person	project_contribution	5.891	coverage_gap	new
315	community/ai-dynamo/Dynamo/Julien Mancuso::project_contribution	Julien Mancuso	person	project_contribution	5.891	coverage_gap	new
316	university/北京大学/北京大学::labs_or_groups	北京大学	school	labs_or_groups	5.889	bridge	new
317	university/浙江大学/浙江大学::labs_or_groups	浙江大学	school	labs_or_groups	5.881	bridge	success
318	community/deepseek-ai/DeepSeek-Infra/kurisu6912::affiliation	kurisu6912	person	affiliation	5.879	coverage_gap	new
319	community/ai-dynamo/Dynamo/Ryan McCormick::technical_collaborator	Ryan McCormick	person	technical_collaborator	5.863	bridge	new
320	community/flagos-ai/FlagCX/FlagCX::maintainers	FlagCX	project	maintainers	5.861	coverage_gap	new
321	community/deepseek-ai/DeepSeek-Infra/guyan364::affiliation	guyan364	person	affiliation	5.856	coverage_gap	new
322	company/RadixArk/Xiaoyu Zhang::project_contribution	Xiaoyu Zhang	person	project_contribution	5.845	bridge	new
323	company/深度求索/Yinmin Zhong::project_contribution	Yinmin Zhong	person	project_contribution	5.837	bridge	new
324	company/OpenAI/柳晓萱 Xiaoxuan Liu::project_contribution	柳晓萱	person	project_contribution	5.833	bridge	new
325	company/清程极智/唐适之 Shizhi Tang::project_contribution	唐适之	person	project_contribution	5.823	bridge	success
326	company/RadixArk/朱邦华 Banghua Zhu::project_contribution	朱邦华	person	project_contribution	5.822	bridge	success
327	university/清华大学/Wenguang Chen::project_contribution	陈文光	person	project_contribution	5.817	coverage_gap	new
328	university/北京大学/杨智 Zhi Yang::project_contribution	Zhi Yang	person	project_contribution	5.799	bridge	new
329	community/kvcache-ai/Mooncake/Yue Chen::project_contribution	Yue Chen	person	project_contribution	5.78	bridge	new
330	university/University of Chicago/University of Chicago::labs_or_groups	University of Chicago	school	labs_or_groups	5.774	bridge	success
331	university/北京大学/Lei Wang::project_contribution	Lei Wang	person	project_contribution	5.765	bridge	new
332	company/TensorMesh/TensorMesh::projects	TensorMesh	company	projects	5.756	bridge	new
333	university/清华大学/清华大学::labs_or_groups	清华大学	school	labs_or_groups	5.755	bridge	new
334	university/北京大学/Tile-AI::parent_or_partner_org	Tile-AI	research	parent_or_partner_org	5.742	coverage_gap	new
335	company/派欧云/派欧云::projects	派欧云	company	projects	5.707	bridge	new
336	company/RadixArk/盛颖 Ying Sheng::project_contribution	盛颖	person	project_contribution	5.702	coverage_gap	new
337	university/UC Berkeley/Xiangxi Mo::affiliation	Xiangxi Mo	person	affiliation	5.686	bridge	new
338	company/清程极智/马子轩 Zixuan Ma::project_contribution	马子轩	person	project_contribution	5.685	bridge	new
339	company/Meta/Richard Zou::project_contribution	Richard Zou	person	project_contribution	5.681	bridge	new
340	community/vllm-project/vLLM/Yongye Zhu::project_contribution	Yongye Zhu	person	project_contribution	5.677	bridge	new
341	community/Ascend/MemCache/j00808874::affiliation	j00808874	person	affiliation	5.666	coverage_gap	new
342	university/UC Berkeley/Shu Liu::project_contribution	Shu Liu	person	project_contribution	5.652	bridge	new
343	company/腾讯/Baolong Mao::affiliation	Baolong Mao	person	affiliation	5.646	bridge	new
344	university/Harvard University/Harvard University::labs_or_groups	Harvard University	school	labs_or_groups	5.645	coverage_gap	new
345	university/Princeton University/Princeton University::labs_or_groups	Princeton University	school	labs_or_groups	5.645	coverage_gap	new
346	company/密瓜智能/密瓜智能::projects	密瓜智能	company	projects	5.636	bridge	new
347	university/上海交通大学/Haibo Chen::project_contribution	Haibo Chen	person	project_contribution	5.633	coverage_gap	new
348	company/摩尔线程/Xiaodong Ye::affiliation	Xiaodong Ye	person	affiliation	5.631	coverage_gap	new
349	community/Ascend/MemCache/chenyz6::affiliation	chenyz6	person	affiliation	5.63	bridge	new
350	community/Ascend/MemCache/yrewzjsx::affiliation	yrewzjsx	person	affiliation	5.628	bridge	new
351	community/vllm-project/vLLM/Roger Wang::project_contribution	Roger Wang	person	project_contribution	5.616	bridge	new
352	community/NVIDIA/TensorRT-LLM/Yi Zhang::affiliation	Yi Zhang	person	affiliation	5.604	coverage_gap	new
353	university/启元实验室/王豪杰 Haojie Wang::project_contribution	王豪杰	person	project_contribution	5.602	bridge	new
354	community/Project-HAMi/HAMi/archlitchi::affiliation	Mengxuan Li	person	affiliation	5.599	coverage_gap	new
355	community/triton-inference-server/Triton-Inference-Server/Yingge He::affiliation	Yingge He	person	affiliation	5.592	coverage_gap	new
356	company/摩尔线程/摩尔线程::key_people	摩尔线程	company	key_people	5.591	coverage_gap	new
357	company/Anyscale/Anyscale::projects	Anyscale	company	projects	5.582	bridge	new
358	community/Ascend/ops-transformer/ops-transformer::maintainers	ops-transformer	project	maintainers	5.571	coverage_gap	new
359	community/vllm-project/vLLM/Chen Zhang::project_contribution	Chen Zhang	person	project_contribution	5.56	bridge	new
360	community/NVIDIA/TensorRT-LLM/Xiao Wang::affiliation	Xiao Wang	person	affiliation	5.558	coverage_gap	new
361	company/腾讯/Chunxiao Zheng::affiliation	Chunxiao Zheng	person	affiliation	5.545	bridge	new
362	university/北京大学/Yining Shi::project_contribution	Yining Shi	person	project_contribution	5.535	bridge	new
363	community/flagos-ai/FlagOS/敖玉龙 Yulong Ao::affiliation	敖玉龙	person	affiliation	5.526	bridge	new
364	university/Columbia University/Columbia University::labs_or_groups	Columbia University	school	labs_or_groups	5.523	coverage_gap	new
365	university/Cornell Tech/Cornell Tech::labs_or_groups	Cornell Tech	school	labs_or_groups	5.523	coverage_gap	new
366	university/University of Tennessee, Knoxville/University of Tennessee, Knoxville::labs_or_groups	University of Tennessee, Knoxville	school	labs_or_groups	5.523	coverage_gap	new
367	university/上海科技大学/上海科技大学::labs_or_groups	上海科技大学	school	labs_or_groups	5.523	coverage_gap	new
368	university/中山大学/中山大学::labs_or_groups	中山大学	school	labs_or_groups	5.523	coverage_gap	new
369	university/北京航空航天大学/北京航空航天大学::labs_or_groups	北京航空航天大学	school	labs_or_groups	5.523	coverage_gap	new
370	university/复旦大学/复旦大学::labs_or_groups	复旦大学	school	labs_or_groups	5.523	coverage_gap	new
371	university/西交利物浦大学/西交利物浦大学::labs_or_groups	西交利物浦大学	school	labs_or_groups	5.523	coverage_gap	new
372	community/siliconflow/SiliconLLM/SiliconLLM::maintainers	SiliconLLM	project	maintainers	5.519	coverage_gap	new
373	company/Intel/Intel::key_people	Intel	company	key_people	5.512	coverage_gap	new
374	community/llm-d/llm-d/张家驹 Jiaju Zhang::affiliation	张家驹	person	affiliation	5.496	coverage_gap	new
375	university/四川大学/四川大学::labs_or_groups	四川大学	school	labs_or_groups	5.492	coverage_gap	new
376	university/UCLA/UCLA::labs_or_groups	UCLA	school	labs_or_groups	5.491	coverage_gap	new
377	university/UC Berkeley/Philipp Moritz::project_contribution	Philipp Moritz	person	project_contribution	5.49	bridge	new
378	university/UC Berkeley/Robert Nishihara::project_contribution	Robert Nishihara	person	project_contribution	5.49	bridge	new
379	community/MetaX-MACA/MetaX-MACA/MetaX-MACA::core_people	MetaX-MACA	community	core_people	5.487	coverage_gap	new
380	university/University of Toronto/University of Toronto::labs_or_groups	University of Toronto	school	labs_or_groups	5.483	coverage_gap	new
381	university/University of Warwick/University of Warwick::labs_or_groups	University of Warwick	school	labs_or_groups	5.483	coverage_gap	new
382	university/UC Berkeley/Reynold Xin::project_contribution	Reynold Xin	person	project_contribution	5.482	bridge	new
383	community/radixark/Miles/Miles::maintainers	Miles	project	maintainers	5.481	coverage_gap	new
384	company/TensorMesh/Jiayi Yao::technical_collaborator	Jiayi Yao	person	technical_collaborator	5.474	bridge	new
385	company/基流科技/Wenqi Xie::project_contribution	Wenqi Xie	person	project_contribution	5.471	bridge	new
386	community/deepseek-ai/DeepSeek-Infra/DeepSelect::related_projects	DeepSelect	project	related_projects	5.466	coverage_gap	new
387	company/RadixArk/童心源 Xinyuan Tong::project_contribution	童心源	person	project_contribution	5.464	coverage_gap	new
388	community/apache/Spark/Spark::related_projects	Spark	project	related_projects	5.452	bridge	new
389	community/thu-pacman/FastMoE/FastMoE::related_projects	FastMoE	project	related_projects	5.438	bridge	new
390	company/基流科技/Mingjun Zhang::project_contribution	Mingjun Zhang	person	project_contribution	5.431	bridge	new
391	university/北京大学/吴童 Tong Wu::project_contribution	Tong Wu	person	project_contribution	5.428	coverage_gap	new
392	company/Ollama/Jeffrey Morgan::project_contribution	Jeffrey Morgan	person	project_contribution	5.425	coverage_gap	new
393	company/Ollama/Michael Chiang::project_contribution	Michael Chiang	person	project_contribution	5.425	coverage_gap	new
394	community/lmsys-org/LMSYS/LMSYS::member_orgs	LMSYS	community	member_orgs	5.406	coverage_gap	new
395	company/硅基流动/胡健::project_contribution	胡健	person	project_contribution	5.404	coverage_gap	new
396	community/flagos-ai/FlagGems/FlagGems::maintainers	FlagGems	project	maintainers	5.402	coverage_gap	new
397	community/ai-dynamo/Dynamo/Stefan Schimanski::project_contribution	Stefan Schimanski	person	project_contribution	5.402	coverage_gap	new
398	community/vllm-project/vLLM/Patrick von Platen::project_contribution	Patrick von Platen	person	project_contribution	5.4	coverage_gap	new
399	community/LMCache/LMCache/Samm Shen::project_contribution	Samuel Shen	person	project_contribution	5.392	bridge	new
400	community/NVIDIA/TensorRT-LLM/Chang Liu::project_contribution	Chang Liu	person	project_contribution	5.385	coverage_gap	new
401	community/ai-dynamo/NIXL/Matvei Pashkovskii::project_contribution	Matvei Pashkovskii	person	project_contribution	5.385	coverage_gap	new
402	community/ModelTC/LightLLM/Sang Chengmeng::project_contribution	Sang Chengmeng	person	project_contribution	5.385	coverage_gap	new
403	community/vllm-project/AIBrix/Xin Li::project_contribution	Xin Li	person	project_contribution	5.385	coverage_gap	new
404	community/NVIDIA/TensorRT-LLM/Yibin Li::project_contribution	Yibin Li	person	project_contribution	5.385	coverage_gap	new
405	community/NVIDIA/TensorRT-LLM/Zhaoyang Wang::project_contribution	Zhaoyang Wang	person	project_contribution	5.385	coverage_gap	new
406	community/vllm-project/vLLM/游凯超 Kaichao You::project_contribution	游凯超	person	project_contribution	5.375	bridge	new
407	community/ai-dynamo/NIXL/Adit Ranadive::technical_collaborator	Adit Ranadive	person	technical_collaborator	5.374	bridge	new
408	community/hpcaitech/Colossal-AI/Colossal-AI::related_projects	Colossal-AI	project	related_projects	5.359	bridge	new
409	university/浙江大学/SuDIS::projects	SuDIS	research	projects	5.358	coverage_gap	new
410	community/NVIDIA/TensorRT-LLM/Yao Yao::project_contribution	Yao Yao	person	project_contribution	5.351	coverage_gap	new
411	community/ai-dynamo/Dynamo/Matej Kosec::project_contribution	Matej Kosec	person	project_contribution	5.349	coverage_gap	new
412	university/北京大学/马凌霄 Lingxiao Ma::project_contribution	Lingxiao Ma	person	project_contribution	5.327	bridge	new
413	community/Project-HAMi/HAMi/wawa0210::project_contribution	Xiao Zhang	person	project_contribution	5.324	coverage_gap	new
414	community/deepseek-ai/DeepSeek-Infra/DeepJIT::maintainers	DeepJIT	project	maintainers	5.316	coverage_gap	new
415	community/sgl-project/SGLang/尹良升 Liangsheng Yin::project_contribution	尹良升	person	project_contribution	5.312	coverage_gap	new
416	company/沐曦/杨建::project_contribution	杨建	person	project_contribution	5.311	coverage_gap	new
417	company/潞晨科技/潞晨科技::projects	潞晨科技	company	projects	5.302	bridge	new
418	community/vllm-project/AIBrix/Chenyu Jiang::project_contribution	Chenyu Jiang	person	project_contribution	5.284	coverage_gap	new
419	university/浙江大学/HMI::related_projects	HMI	project	related_projects	5.28	coverage_gap	new
420	company/智谱/GLM-4-Voice::related_projects	GLM-4-Voice	project	related_projects	5.268	coverage_gap	new
421	community/siliconflow/OneDiff/OneDiff::related_projects	OneDiff	project	related_projects	5.263	coverage_gap	new
422	company/Baseten/Baseten::projects	Baseten	company	projects	5.257	bridge	new
423	community/QingCheng-AI/ascend-kernel/ascend-kernel::related_projects	ascend-kernel	project	related_projects	5.257	coverage_gap	new
424	company/华为/华为::academic_links	华为	company	academic_links	5.231	bridge	new
425	company/基流科技/He Liu::project_contribution	He Liu	person	project_contribution	5.229	bridge	new
426	community/kvcache-ai/Mooncake/TENT::related_projects	TENT	project	related_projects	5.227	bridge	new
427	company/基流科技/Yanmin Jia::project_contribution	Yanmin Jia	person	project_contribution	5.225	bridge	new
428	community/ai-dynamo/NIXL/Rongbing Zhou::project_contribution	Rongbing Zhou	person	project_contribution	5.216	coverage_gap	new
429	community/ai-dynamo/NIXL/Tomer Davidor::project_contribution	Tomer Davidor	person	project_contribution	5.216	coverage_gap	new
430	company/RadixArk/Qiaolin Yu::project_contribution	Qiaolin Yu	person	project_contribution	5.215	bridge	new
431	company/OpenAI/GPT-4o::related_projects	GPT-4o	project	related_projects	5.212	coverage_gap	new
432	university/UC Berkeley/Shiyi Cao::project_contribution	Shiyi Cao	person	project_contribution	5.179	bridge	new
433	university/微软亚洲研究院/微软亚洲研究院::projects	微软亚洲研究院	research	projects	5.143	coverage_gap	new
434	university/上海交通大学/Rongxin Cheng::project_contribution	Rongxin Cheng	person	project_contribution	5.127	coverage_gap	new
435	company/OpenAI/GPT-4::related_projects	GPT-4	project	related_projects	5.119	coverage_gap	new
436	university/清华大学/龙明盛 Mingsheng Long::affiliation	龙明盛	person	affiliation	5.112	bridge	new
437	university/UC Berkeley/MoE-Lightning::maintainers	MoE-Lightning	project	maintainers	5.078	coverage_gap	new
438	company/深度求索/陈德里 Deli Chen::project_contribution	陈德里	person	project_contribution	5.072	bridge	new
439	company/天数智芯/honglyua::affiliation	honglyua	person	affiliation	5.061	coverage_gap	new
440	company/天数智芯/shengyan.zhao::affiliation	shengyan.zhao	person	affiliation	5.061	coverage_gap	new
441	company/月之暗面/Kimi-K2::maintainers	Kimi-K2	project	maintainers	5.06	coverage_gap	new
442	company/Databricks/Databricks::projects	Databricks	company	projects	5.05	bridge	new
443	community/vllm-project/vLLM-Omni/Yongxiang Huang::affiliation	Yongxiang Huang	person	affiliation	5.047	coverage_gap	new
444	community/ai-dynamo/Dynamo/Karen Chung::technical_collaborator	Karen Chung	person	technical_collaborator	5.044	bridge	new
445	company/Inferact/Inferact::projects	Inferact	company	projects	5.035	bridge	new
446	community/llm-d/llm-d/Ashok Chandrasekar::affiliation	Ashok Chandrasekar	person	affiliation	5.019	bridge	new
447	university/上海交通大学/上海交通大学::spinouts	上海交通大学	school	spinouts	5.002	bridge	new
448	company/沐曦/沐曦::academic_links	沐曦	company	academic_links	4.977	bridge	new
449	community/ai-dynamo/Dynamo/Alec Flowers::affiliation	Alec Flowers	person	affiliation	4.971	coverage_gap	new
450	university/浙江大学/Lidan Shou::project_contribution	Lidan Shou	person	project_contribution	4.931	bridge	new
451	community/ai-dynamo/NIXL/Mikhail Brinskiy::project_contribution	Mikhail Brinskiy	person	project_contribution	4.92	bridge	new
452	community/NVIDIA/TensorRT-LLM/Brian Nguyen::affiliation	Brian Nguyen	person	affiliation	4.917	coverage_gap	new
453	company/Inferact/Woosuk Kwon::project_contribution	Woosuk Kwon	person	project_contribution	4.902	bridge	new
454	company/道客/道客::key_people	道客	company	key_people	4.855	coverage_gap	new
455	community/Oneflow-Inc/OneFlow/OneFlow::maintainers	OneFlow	project	maintainers	4.847	coverage_gap	new
456	community/Deep-Spark/DeepSparkInference/DeepSparkInference::maintainers	DeepSparkInference	project	maintainers	4.836	coverage_gap	new
457	community/vllm-project/Jenga/Jenga::related_projects	Jenga	project	related_projects	4.792	bridge	new
458	community/ray-project/Ray/Ray::related_projects	Ray	project	related_projects	4.786	bridge	new
459	community/Deep-Spark/DeepSpark/DeepSpark::core_people	DeepSpark	community	core_people	4.778	coverage_gap	new
460	company/OpenAI/GPT-4.5::related_projects	GPT-4.5	project	related_projects	4.741	coverage_gap	new
461	community/NVIDIA/TensorRT-LLM/Anurag Mukkara::project_contribution	Anurag Mukkara	person	project_contribution	4.71	coverage_gap	new
462	community/llm-d/llm-d/David Simmons::project_contribution	David Simmons	person	project_contribution	4.71	coverage_gap	new
463	community/ai-dynamo/NIXL/Efraim Eygin::project_contribution	Efraim Eygin	person	project_contribution	4.71	coverage_gap	new
464	community/ai-dynamo/NIXL/Ilia Yastrebov::project_contribution	Ilia Yastrebov	person	project_contribution	4.71	coverage_gap	new
465	community/ai-dynamo/NIXL/James Thomas::project_contribution	James Thomas	person	project_contribution	4.71	coverage_gap	new
466	community/vllm-project/AIBrix/Jingyuan Zhang::project_contribution	Jingyuan Zhang	person	project_contribution	4.71	coverage_gap	new
467	community/llm-d/llm-d/Pete Cheslock::project_contribution	Pete Cheslock	person	project_contribution	4.71	coverage_gap	new
468	community/ai-dynamo/NIXL/Ryan Hankins::project_contribution	Ryan Hankins	person	project_contribution	4.71	coverage_gap	new
469	community/deepseek-ai/DeepSpec/DeepSpec::maintainers	DeepSpec	project	maintainers	4.699	coverage_gap	new
470	community/flagos-ai/FlagOS/FlagOS::member_orgs	FlagOS	community	member_orgs	4.698	bridge	new
471	community/flashinfer-ai/FlashInfer/陈天奇 Tianqi Chen::project_contribution	陈天奇	person	project_contribution	4.696	bridge	new
472	company/月之暗面/吴育昕 Yuxin Wu::project_contribution	吴育昕	person	project_contribution	4.69	bridge	new
473	company/硅基流动/赵震 Zhao Zhen::project_contribution	赵震	person	project_contribution	4.685	coverage_gap	new
474	company/阿里巴巴/杨宝松 Baosong Yang::project_contribution	杨宝松	person	project_contribution	4.673	bridge	new
475	company/阿里巴巴/刘大一恒 Dayiheng Liu::project_contribution	刘大一恒	person	project_contribution	4.67	bridge	new
476	company/阿里巴巴/万宇 Yu Wan::project_contribution	万宇	person	project_contribution	4.648	bridge	new
477	company/天数智芯/天数智芯::academic_links	天数智芯	company	academic_links	4.645	bridge	new
478	company/Ollama/Ollama::academic_links	Ollama	company	academic_links	4.607	bridge	new
479	community/tile-ai/TileScale/TileScale::maintainers	TileScale	project	maintainers	4.588	coverage_gap	new
480	company/阿里巴巴/唐天一 Tianyi Tang::project_contribution	唐天一	person	project_contribution	4.49	coverage_gap	new
481	company/字节跳动/何家傲 Jiaao He::technical_collaborator	何家傲	person	technical_collaborator	4.483	coverage_gap	new
482	university/清华大学/KEG::projects	KEG	research	projects	4.471	bridge	new
483	company/OpenAI/Randall Lin::project_contribution	Randall Lin	person	project_contribution	4.451	coverage_gap	new
484	company/OpenAI/Youlong Cheng::project_contribution	Youlong Cheng	person	project_contribution	4.451	coverage_gap	new
485	university/北京大学/程羽 Yu Cheng::project_contribution	Yu Cheng	person	project_contribution	4.328	coverage_gap	new
486	community/flashinfer-ai/FlashInfer/Yineng Zhang::affiliation	Yineng Zhang	person	affiliation	4.31	bridge	new
487	company/深度求索/邵智宏 Zhihong Shao::project_contribution	邵智宏	person	project_contribution	4.295	bridge	new
488	university/清华大学/Zan Zong::technical_collaborator	Zan Zong	person	technical_collaborator	4.269	coverage_gap	new
489	company/商汤科技/商汤科技::academic_links	商汤科技	company	academic_links	4.245	bridge	new
490	community/triton-inference-server/Triton-Inference-Server/Triton-Inference-Server::related_projects	Triton Inference Server	project	related_projects	4.196	bridge	new
491	company/月之暗面/Guanduo Chen::project_contribution	Guanduo Chen	person	project_contribution	4.19	bridge	new
492	company/智谱/智谱::projects	智谱	company	projects	4.181	bridge	new
493	company/阿里巴巴/惠彬原 Binyuan Hui::affiliation	惠彬原	person	affiliation	4.024	coverage_gap	new
494	company/阿里巴巴/郁博文 Bowen Yu::affiliation	郁博文	person	affiliation	4.024	coverage_gap	new
495	company/阿里巴巴/林俊旸 Junyang Lin::affiliation	林俊旸	person	affiliation	4.022	coverage_gap	new
496	company/阿里巴巴/Qwen-Coder::maintainers	Qwen-Coder	project	maintainers	3.891	coverage_gap	new
497	company/智谱/郑勤锴 Qinkai Zheng::project_contribution	郑勤锴	person	project_contribution	3.865	bridge	new
498	company/深度求索/郭达雅 Daya Guo::project_contribution	郭达雅	person	project_contribution	3.787	bridge	new
499	company/深度求索/Shaoyuan Chen::technical_collaborator	Shaoyuan Chen	person	technical_collaborator	3.747	coverage_gap	new
500	company/HPE/HPE::academic_links	HPE	company	academic_links	3.73	coverage_gap	new
501	university/上海交通大学/Xiaoze Fan::technical_collaborator	Xiaoze Fan	person	technical_collaborator	3.686	coverage_gap	new
502	community/llm-d/llm-d/Danny Harnik::technical_collaborator	Danny Harnik	person	technical_collaborator	3.589	coverage_gap	new
503	company/OpenAI/o1::related_projects	o1	project	related_projects	3.467	coverage_gap	new
504	university/UC Berkeley/Matei Zaharia::technical_collaborator	Matei Zaharia	person	technical_collaborator	3.423	coverage_gap	new
505	company/智谱/GLM-4.5::related_projects	GLM-4.5	project	related_projects	3.418	bridge	new
